"Employment income statistics by major field of study (detailed, 4-digit) and highest level of education: Canada, provinces and territories"
"Frequency: Occasional"
"Table: 98-10-0409-01"
"Release date: 2023-10-04"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over in private households, 2021 Census — 25% Sample data"
"Variable List: Major field of study - Classification of Instructional Programs (CIP) 2021 (500), Gender (3), Age (15A), Highest certificate, diploma or degree (16), Work activity during the reference year (5), Income year (2), Employment income statistics (7)"

"Geography","Canada i1",,,,,,
"Gender (3) 1 2","Total - Gender",,,,,,
"Age (15A) 3","Total - Age",,,,,,
"Highest certificate, diploma or degree (16) 4","Master's degree",,,,,,
"Work activity during the reference year (5) 5","Total - Work activity during the reference year 6",,,,,,
"Income year (2)","2020",,,,,,
"Employment income statistics (7)","Total - Employment income statistics 8 9 10 11","With employment income","Median employment income ($)","Average employment income ($)","With wages, salaries and commissions","Median wages, salaries and commissions ($)","Average wages, salaries and commissions ($)"
"41. Science technologies/technicians","310","235","34,400","54,800","205","35,600","61,200"
"41.00 Science technologies/technicians, general","240","185","35,200","57,200","170","35,600","62,800"
"41.01 Biology and biotechnology technologies/technicians","35","25","x","28,000","15","x","36,000"
"41.02 Nuclear and industrial radiologic technologies/technicians","35","25","x","64,000","15","x","70,000"
"41.03 Physical science technologies/technicians","0","0","...","...","0","...","..."
"41.99 Science technologies/technicians, other","0","0","...","...","0","...","..."
"Mathematics, computer and information sciences","126,500","104,735","74,000","81,400","99,285","76,500","83,700"
"11. Computer and information sciences and support services","82,670","71,460","78,000","84,800","68,010","80,000","87,000"
"11.01 Computer and information sciences and support services, general","19,715","17,155","69,000","74,900","16,295","72,000","76,600"
"11.02 Computer programming","535","465","68,500","78,400","425","75,000","83,600"
"11.03 Data processing and data processing technology/technician","0","0","...","...","0","...","..."
"11.04 Information science/studies","3,440","3,020","70,000","71,300","2,915","70,500","72,000"
"11.05 Computer systems analysis/analyst","340","285","60,800","66,000","260","63,200","73,500"
"11.06 Data entry/microcomputer applications","0","0","...","...","0","...","..."
"11.07 Computer science","45,500","39,120","84,000","93,200","37,170","86,000","95,800"
"11.08 Computer software and media applications","790","705","64,500","86,800","650","66,500","92,000"
"11.09 Computer systems networking and telecommunications","565","505","89,000","84,000","475","92,000","86,800"
"11.10 Computer/information technology administration and management","4,345","3,930","72,500","76,500","3,785","75,000","78,600"
"11.99 Computer and information sciences and support services, other","7,435","6,270","73,000","72,600","6,040","75,500","74,100"
"25. Library science","19,115","13,465","65,000","64,700","12,740","67,500","66,700"
"25.01 Library science and administration","19,110","13,465","65,000","64,700","12,740","67,500","66,700"
"25.03 Library and archives assisting","0","0","...","...","0","...","..."
"25.99 Library science, other","0","0","...","...","0","...","..."
"27. Mathematics and statistics","19,880","15,560","62,400","79,400","14,460","67,000","82,500"
"27.01 Mathematics","11,860","8,840","52,400","74,700","8,135","58,000","79,300"
"27.03 Applied mathematics","2,365","2,045","88,000","109,000","1,960","89,000","105,900"
"27.05 Statistics","5,500","4,550","67,000","75,500","4,255","71,000","78,400"
"27.06 Applied statistics","130","105","47,600","64,000","100","48,800","61,000"
"27.99 Mathematics and statistics, other","30","15","x","70,000","0","...","..."
"30D Interdisciplinary mathematics, computer and information sciences","4,845","4,255","77,500","83,900","4,070","80,000","86,500"
"30.06 Systems science and theory","200","175","82,000","101,000","160","92,000","112,000"
"30.08 Mathematics and computer science","1,140","895","90,000","102,000","845","92,000","107,200"
"30.30 Computational science","155","140","65,000","69,000","140","65,000","69,000"
"30.39 Economics and computer science","75","70","54,400","68,000","60","68,500","70,000"
"30.48 Linguistics and computer science","55","45","86,000","88,000","45","84,000","88,000"
